Time,某金融标的,注1：所有缺少的数值都由最近的之前的工作日的值所替代。
2004-11-23,447.05,
2004-11-24,449.55,
2004-11-25,451.69,
2004-11-26,451.95,
2004-11-27,451.95,
2004-11-28,451.95,
2004-11-29,453.95,
2004-11-30,450.95,
2004-12-01,454.75,
2004-12-02,449.25,
2004-12-03,455.9,
2004-12-04,455.9,
2004-12-05,455.9,
2004-12-06,452.25,
2004-12-07,450.9,
2004-12-08,440.6,
2004-12-09,437.3,
2004-12-10,434.2,
2004-12-11,434.2,
2004-12-12,434.2,
2004-12-13,438.85,
2004-12-14,435.6,
2004-12-15,440.6,
2004-12-16,437.2,
2004-12-17,441.5,
2004-12-18,441.5,
2004-12-19,441.5,
2004-12-20,442.99,
2004-12-21,441.6,
2004-12-22,439.7,
2004-12-23,442.24,
2004-12-24,442.65,
2004-12-25,442.65,
2004-12-26,442.65,
2004-12-27,444.35,
2004-12-28,443.75,
2004-12-29,436.45,
2004-12-30,437.99,
2004-12-31,438.45,
2005-01-01,438.45,
2005-01-02,438.45,
2005-01-03,429.55,
2005-01-04,427.55,
2005-01-05,426.55,
2005-01-06,421.4,
2005-01-07,419.05,
2005-01-08,419.05,
2005-01-09,419.05,
2005-01-10,419.63,
2005-01-11,421.65,
2005-01-12,426.15,
2005-01-13,425.2,
2005-01-14,423.15,
2005-01-15,423.15,
2005-01-16,423.15,
2005-01-17,422.13,
2005-01-18,423.05,
2005-01-19,423.15,
2005-01-20,422.35,
2005-01-21,427.25,
2005-01-22,427.25,
2005-01-23,427.25,
2005-01-24,427.35,
2005-01-25,422.2,
2005-01-26,426.8,
2005-01-27,426.2,
2005-01-28,427,
2005-01-29,427,
2005-01-30,427,
2005-01-31,422.6,
2005-02-01,421.13,
2005-02-02,421.96,
2005-02-03,417.2,
2005-02-04,414.7,
2005-02-05,414.7,
2005-02-06,414.7,
2005-02-07,413.4,
2005-02-08,412.7,
2005-02-09,413.35,
2005-02-10,417.8,
2005-02-11,420.9,
2005-02-12,420.9,
2005-02-13,420.9,
2005-02-14,425.75,
2005-02-15,425.75,
2005-02-16,425.2,
2005-02-17,427.17,
2005-02-18,427.41,
2005-02-19,427.41,
2005-02-20,427.41,
2005-02-21,427.45,
2005-02-22,435.85,
2005-02-23,434.55,
2005-02-24,433.75,
2005-02-25,435.25,
2005-02-26,435.25,
2005-02-27,435.25,
2005-02-28,435.65,
2005-03-01,432.6,
2005-03-02,432.95,
2005-03-03,429.65,
2005-03-04,434.3,
2005-03-05,434.3,
2005-03-06,434.3,
2005-03-07,434.55,
2005-03-08,440.55,
2005-03-09,440.6,
2005-03-10,442.13,
2005-03-11,444.95,
2005-03-12,444.95,
2005-03-13,444.95,
2005-03-14,440.97,
2005-03-15,440.7,
2005-03-16,443.15,
2005-03-17,438.8,
2005-03-18,439.35,
2005-03-19,439.35,
2005-03-20,439.35,
2005-03-21,431.2,
2005-03-22,427.11,
2005-03-23,425.35,
2005-03-24,425.05,
2005-03-25,424.88,
2005-03-26,424.88,
2005-03-27,424.88,
2005-03-28,426.2,
2005-03-29,426.1,
2005-03-30,426.35,
2005-03-31,428.35,
2005-04-01,426.25,
2005-04-02,426.25,
2005-04-03,426.25,
2005-04-04,424.25,
2005-04-05,425.35,
2005-04-06,426.7,
2005-04-07,425.9,
2005-04-08,427.1,
2005-04-09,427.1,
2005-04-10,427.1,
2005-04-11,428,
2005-04-12,428.2,
2005-04-13,428.9,
2005-04-14,424,
2005-04-15,424.9,
2005-04-16,424.9,
2005-04-17,424.9,
2005-04-18,427.35,
2005-04-19,434,
2005-04-20,434.6,
2005-04-21,432.57,
2005-04-22,434.6,
2005-04-23,434.6,
2005-04-24,434.6,
2005-04-25,434.7,
2005-04-26,437.1,
2005-04-27,432.46,
2005-04-28,431.4,
2005-04-29,434.39,
2005-04-30,434.39,
2005-05-01,434.39,
2005-05-02,429.8,
2005-05-03,427.9,
2005-05-04,429.8,
2005-05-05,430.4,
2005-05-06,426.2,
2005-05-07,426.2,
2005-05-08,426.2,
2005-05-09,426.1,
2005-05-10,426.6,
2005-05-11,427.4,
2005-05-12,422.4,
2005-05-13,420.4,
2005-05-14,420.4,
2005-05-15,420.4,
2005-05-16,419.75,
2005-05-17,418.75,
2005-05-18,421.75,
2005-05-19,420.6,
2005-05-20,417.65,
2005-05-21,417.65,
2005-05-22,417.65,
2005-05-23,417.55,
2005-05-24,418.35,
2005-05-25,419.55,
2005-05-26,417.8,
2005-05-27,420.45,
2005-05-28,420.45,
2005-05-29,420.45,
2005-05-30,418.55,
2005-05-31,417.25,
2005-06-01,415.4,
2005-06-02,421.8,
2005-06-03,422.45,
2005-06-04,422.45,
2005-06-05,422.45,
2005-06-06,425.95,
2005-06-07,424.75,
2005-06-08,423.15,
2005-06-09,423.7,
2005-06-10,427.05,
2005-06-11,427.05,
2005-06-12,427.05,
2005-06-13,428.9,
2005-06-14,426.85,
2005-06-15,428.9,
2005-06-16,435.65,
2005-06-17,437.65,
2005-06-18,437.65,
2005-06-19,437.65,
2005-06-20,437.9,
2005-06-21,438.6,
2005-06-22,438.15,
2005-06-23,441.3,
2005-06-24,439.95,
2005-06-25,439.95,
2005-06-26,439.95,
2005-06-27,439.8,
2005-06-28,435.55,
2005-06-29,437.25,
2005-06-30,435.5,
2005-07-01,427.4,
2005-07-02,427.4,
2005-07-03,427.4,
2005-07-04,427.9,
2005-07-05,423.6,
2005-07-06,423.76,
2005-07-07,424.2,
2005-07-08,423.1,
2005-07-09,423.1,
2005-07-10,423.1,
2005-07-11,425.9,
2005-07-12,426.95,
2005-07-13,424.1,
2005-07-14,419.6,
2005-07-15,421.55,
2005-07-16,421.55,
2005-07-17,421.55,
2005-07-18,421.05,
2005-07-19,420.1,
2005-07-20,423.15,
2005-07-21,425.6,
2005-07-22,425,
2005-07-23,425,
2005-07-24,425,
2005-07-25,425.85,
2005-07-26,423.5,
2005-07-27,425.5,
2005-07-28,428,
2005-07-29,429.8,
2005-07-30,429.8,
2005-07-31,429.8,
2005-08-01,432.2,
2005-08-02,432.3,
2005-08-03,436.8,
2005-08-04,437.6,
2005-08-05,437.3,
2005-08-06,437.3,
2005-08-07,437.3,
2005-08-08,435,
2005-08-09,434.8,
2005-08-10,437.6,
2005-08-11,445.9,
2005-08-12,446.2,
2005-08-13,446.2,
2005-08-14,446.2,
2005-08-15,442.4,
2005-08-16,446.15,
2005-08-17,440.1,
2005-08-18,439.7,
2005-08-19,436.3,
2005-08-20,436.3,
2005-08-21,436.3,
2005-08-22,438.2,
2005-08-23,439.2,
2005-08-24,437.67,
2005-08-25,438.7,
2005-08-26,437.7,
2005-08-27,437.7,
2005-08-28,437.7,
2005-08-29,436.9,
2005-08-30,431.6,
2005-08-31,435.2,
2005-09-01,443.25,
2005-09-02,444.4,
2005-09-03,444.4,
2005-09-04,444.4,
2005-09-05,445.35,
2005-09-06,444,
2005-09-07,444.7,
2005-09-08,447.4,
2005-09-09,449.2,
2005-09-10,449.2,
2005-09-11,449.2,
2005-09-12,449.75,
2005-09-13,446.5,
2005-09-14,450.3,
2005-09-15,455.75,
2005-09-16,459.75,
2005-09-17,459.75,
2005-09-18,459.75,
2005-09-19,464.75,
2005-09-20,463.85,
2005-09-21,472.35,
2005-09-22,466.05,
2005-09-23,463.25,
2005-09-24,463.25,
